companyLocation,companyAmount
Argentina,4
Australia,51
Austria,30
Belgium,56
Bolivia,2
Brazil,23
Canada,158
Chile,2
Colombia,24
Costa rica,9
Czech republic,3
Denmark,31
Dominican republic,11
Ecuador,50
El salvador,3
Fiji,4
Finland,2
France,167
Germany,39
Ghana,1
Grenada,3
Guatemala,10
Honduras,6
Hungary,25
Iceland,4
India,2
Ireland,5
Israel,9
Italy,67
Japan,26
Lithuania,8
Madagascar,13
Malaysia,3
Martinique,1
Mexico,8
Netherlands,20
New zealand,26
Nicaragua,10
Norway,3
Peru,19
Philippines,5
Poland,7
Portugal,3
Puerto rico,4
Russia,1
Sao tome,3
Sao tome & principe (?),4
Scotland,10
Singapore,13
South africa,4
South korea,8
Spain,35
St. lucia,3
St.vincent-grenadines,1
Suriname,1
Sweden,6
Switzerland,43
Taiwan,10
Thailand,5
U.a.e.,4
U.k.,117
U.S.A,948
Vanuatu,4
Venezuela,31
Vietnam,15
Wales,1